,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
CA-501,3856,3677,3481,90.27%,3350,506,0,313,770,3067,19,133,292,3350,3281,3133,93.52%,45,25,230,566,2765,19,65,129,506,396,348,68.77%,83,204,302,0,68,163,0,0,0,,0,0,0,0,0,0,1641,1571,1571,95.73%,1281,1281,360,0,76,183,5725,5725,4723,82.50%,315,865,4860,0,1381,52,2622,7760,7557,7557,97.38%,744,2193,5567,0,233,493
CA-502,3371,3199,2935,87.07%,2276,1042,53,263,679,2677,15,127,163,2276,2125,1942,85.33%,160,0,164,444,1817,15,3,33,1042,1021,940,90.21%,99,235,807,0,71,130,53,53,53,100.00%,0,0,53,0,53,0,1198,1198,1198,100.00%,192,556,642,0,104,69,5257,5235,3802,72.32%,401,1170,4087,0,817,43,894,0,0,0,,0,0,0,0,0,0
CA-503,2749,2732,2598,94.51%,2026,723,0,402,1135,1608,6,164,249,2026,2026,1926,95.06%,195,331,265,776,1244,6,25,111,723,706,672,92.95%,137,359,364,0,139,138,0,0,0,,0,0,0,0,0,0,933,856,856,91.75%,185,602,331,0,87,91,3553,3553,2894,81.45%,451,1392,2161,0,755,122,2722,297,297,297,100.00%,13,39,258,0,34,0
CA-504,1225,1209,1085,88.57%,855,370,0,70,219,1000,6,53,21,855,839,765,89.47%,45,40,65,203,646,6,30,17,370,370,320,86.49%,5,16,354,0,23,4,0,0,0,,0,0,0,0,0,0,494,436,413,83.60%,134,319,175,0,0,21,1211,1211,459,37.90%,41,108,1103,0,498,47,639,228,228,161,70.61%,14,43,185,0,0,28
CA-505,839,771,507,60.43%,564,275,0,79,233,602,4,38,47,564,540,446,79.08%,52,49,44,137,423,4,16,19,275,231,61,22.18%,35,96,179,0,22,28,0,0,0,,0,0,0,0,0,0,294,252,252,85.71%,66,206,88,0,31,17,1325,1325,1325,100.00%,247,660,665,0,448,10,746,274,274,274,100.00%,41,114,160,0,0,0
CA-506,812,770,644,79.31%,532,280,0,40,235,577,0,71,14,532,490,376,70.68%,0,0,22,114,418,0,10,8,280,280,268,95.71%,18,121,159,0,61,6,0,0,0,,0,0,0,0,0,0,183,183,183,100.00%,28,110,73,0,34,0,614,614,342,55.70%,59,284,330,0,279,0,50,0,0,0,,0,0,0,0,0,0
CA-507,300,242,205,68.33%,192,108,0,49,133,167,0,12,2,192,184,147,76.56%,0,0,19,63,129,0,0,0,108,58,58,53.70%,30,70,38,0,12,2,0,0,0,,0,0,0,0,0,0,141,127,127,90.07%,29,94,47,0,2,6,658,658,658,100.00%,45,144,514,0,72,0,456,190,190,124,65.26%,25,73,117,0,0,0
CA-508,454,433,355,78.19%,381,73,0,65,229,225,0,14,0,381,360,282,74.02%,0,0,51,156,225,0,14,0,73,73,73,100.00%,14,73,0,0,0,0,0,0,0,,0,0,0,0,0,0,400,392,392,98.00%,76,219,181,0,35,24,746,746,144,19.30%,13,46,700,0,444,0,717,804,804,0,0.00%,312,555,249,0,0,0
CA-509,281,245,221,78.65%,214,67,0,89,119,162,0,0,18,214,205,197,92.06%,0,16,57,79,135,0,0,5,67,40,24,35.82%,32,40,27,0,0,13,0,0,0,,0,0,0,0,0,0,108,108,102,94.44%,60,73,35,0,1,0,529,529,529,100.00%,47,135,394,0,140,0,365,100,100,90,90.00%,28,56,44,0,0,0
CA-510,1164,1142,984,84.54%,926,238,0,92,303,818,43,15,94,926,916,758,81.86%,125,25,61,211,672,43,0,67,238,226,226,94.96%,31,92,146,0,15,27,0,0,0,,0,0,0,0,0,0,32,32,32,100.00%,9,28,4,0,2,0,705,705,441,62.55%,71,225,480,0,276,0,611,224,224,24,10.71%,42,146,78,0,0,24
CA-511,1662,1617,1617,97.29%,1311,351,0,169,695,959,8,52,34,1311,1266,1266,96.57%,48,0,122,513,790,8,38,26,351,351,351,100.00%,47,182,169,0,14,8,0,0,0,,0,0,0,0,0,0,328,328,328,100.00%,86,278,50,0,39,39,787,787,787,100.00%,98,286,501,0,381,34,285,550,550,550,100.00%,164,452,98,0,0,0
CA-512,865,842,825,95.38%,707,158,0,122,421,442,2,45,9,707,684,667,94.34%,0,10,83,277,430,0,45,1,158,158,158,100.00%,39,144,12,2,0,8,0,0,0,,0,0,0,0,0,0,384,336,336,87.50%,93,306,78,0,3,6,1137,1137,966,84.96%,57,155,982,0,485,8,445,772,763,763,98.83%,137,456,316,0,11,0
CA-513,523,392,392,74.95%,317,206,0,29,201,322,0,0,20,317,236,236,74.45%,0,70,12,142,175,0,0,0,206,156,156,75.73%,17,59,147,0,0,20,0,0,0,,0,0,0,0,0,0,188,188,188,100.00%,41,152,36,0,12,0,264,264,264,100.00%,18,64,200,0,57,0,188,277,277,277,100.00%,22,85,192,0,0,0
CA-514,1829,1656,1192,65.17%,1480,349,0,253,693,1136,0,101,50,1480,1307,869,58.72%,304,48,125,423,1057,0,41,16,349,349,323,92.55%,128,270,79,0,60,34,0,0,0,,0,0,0,0,0,0,441,392,392,88.89%,82,287,154,0,57,0,1491,1491,1381,92.62%,92,276,1215,0,729,0,1491,53,53,53,100.00%,3,10,43,0,53,0
CA-515,336,273,273,81.25%,272,64,0,25,132,204,0,0,13,272,226,226,83.09%,16,0,20,119,153,0,0,0,64,47,47,73.44%,5,13,51,0,0,13,0,0,0,,0,0,0,0,0,0,122,43,43,35.25%,34,101,21,0,3,0,199,199,199,100.00%,7,16,183,0,0,0,95,58,58,58,100.00%,21,58,0,0,0,0
CA-516,1087,1052,512,47.10%,677,410,0,122,374,713,0,56,58,677,642,332,49.04%,0,0,90,238,439,0,0,46,410,410,180,43.90%,32,136,274,0,56,12,0,0,0,,0,0,0,0,0,0,151,151,151,100.00%,29,97,54,0,9,6,141,141,141,100.00%,45,73,68,0,58,10,8,148,148,148,100.00%,42,131,17,0,0,0
CA-517,176,160,144,81.82%,135,41,0,7,37,139,0,0,12,135,119,119,88.15%,50,0,4,23,112,0,0,0,41,41,25,60.98%,3,14,27,0,0,12,0,0,0,,0,0,0,0,0,0,145,145,145,100.00%,32,130,15,0,1,0,60,60,60,100.00%,1,3,57,0,0,0,47,28,28,28,100.00%,2,4,24,0,0,0
CA-518,347,347,247,71.18%,183,164,0,28,65,278,4,14,47,183,183,126,68.85%,0,0,19,40,139,4,2,12,164,164,121,73.78%,9,25,139,0,12,35,0,0,0,,0,0,0,0,0,0,123,123,123,100.00%,16,27,96,0,67,0,278,278,244,87.77%,5,17,261,0,199,0,247,0,0,0,,0,0,0,0,0,0
CA-519,736,715,631,85.73%,497,239,0,68,224,511,1,15,19,497,484,448,90.14%,45,212,24,68,429,0,0,6,239,231,183,76.57%,44,156,82,1,15,13,0,0,0,,0,0,0,0,0,0,359,330,88,24.51%,89,292,67,0,30,0,220,220,204,92.73%,10,22,198,0,120,12,26,0,0,0,,0,0,0,0,0,0
CA-520,454,440,378,83.26%,374,80,0,47,143,311,0,1,6,374,360,328,87.70%,0,3,47,143,231,0,1,6,80,80,50,62.50%,0,0,80,0,0,0,0,0,0,,0,0,0,0,0,0,33,33,33,100.00%,0,0,33,0,0,0,160,160,75,46.88%,24,85,75,0,85,0,8,0,0,0,,0,0,0,0,0,0
CA-521,375,340,322,85.87%,339,36,0,113,219,156,0,0,26,339,304,299,88.20%,20,37,111,213,126,0,0,0,36,36,23,63.89%,2,6,30,0,0,26,0,0,0,,0,0,0,0,0,0,422,422,422,100.00%,69,303,119,0,8,21,379,379,274,72.30%,15,42,337,0,64,2,148,0,0,0,,0,0,0,0,0,0
CA-522,407,407,219,53.81%,317,90,0,63,149,243,15,51,15,317,317,129,40.69%,0,58,56,105,207,5,15,5,90,90,90,100.00%,7,44,36,10,36,10,0,0,0,,0,0,0,0,0,0,617,617,617,100.00%,481,525,92,0,49,0,279,279,253,90.68%,104,138,141,0,26,0,125,17,17,17,100.00%,17,17,0,0,0,0
CA-523,170,156,144,84.71%,112,58,0,55,136,34,0,1,0,112,98,92,82.14%,0,0,43,90,22,0,1,0,58,58,52,89.66%,12,46,12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
CA-524,435,411,403,92.64%,393,42,0,59,200,235,0,0,0,393,369,361,91.86%,30,16,53,164,229,0,0,0,42,42,42,100.00%,6,36,6,0,0,0,0,0,0,,0,0,0,0,0,0,395,395,395,100.00%,81,283,112,0,22,0,113,113,113,100.00%,0,0,113,0,0,0,0,15,15,0,0.00%,0,0,15,0,0,0
CA-525,83,70,29,34.94%,12,71,0,5,13,52,18,0,23,12,12,12,100.00%,20,0,0,0,0,12,0,12,71,58,17,23.94%,5,13,52,6,0,11,0,0,0,,0,0,0,0,0,0,70,70,70,100.00%,17,44,26,0,10,6,39,39,0,0.00%,7,10,29,0,14,0,0,92,92,92,100.00%,2,11,81,0,0,7
CA-526,318,241,201,63.21%,268,50,0,53,171,147,0,7,3,268,211,171,63.81%,0,1,41,139,129,0,0,0,50,30,30,60.00%,12,32,18,0,7,3,0,0,0,,0,0,0,0,0,0,141,141,141,100.00%,25,79,62,0,0,0,96,96,31,32.29%,9,25,71,0,67,0,35,18,18,18,100.00%,5,15,3,0,0,0
CA-527,72,32,32,44.44%,24,48,0,11,45,27,0,0,0,24,0,0,0.00%,0,0,4,21,3,0,0,0,48,32,32,66.67%,7,24,24,0,0,0,0,0,0,,0,0,0,0,0,0,185,130,130,70.27%,49,152,33,0,12,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
CA-529,203,187,117,57.64%,128,75,0,3,12,191,0,0,11,128,114,108,84.38%,0,0,0,0,128,0,0,0,75,73,9,12.00%,3,12,63,0,0,11,0,0,0,,0,0,0,0,0,0,107,107,107,100.00%,3,7,100,0,11,0,12,12,0,0.00%,0,0,12,0,12,0,0,175,175,0,0.00%,0,0,175,0,0,0
CA-530,4,4,0,0.00%,0,4,0,0,0,4,0,0,0,0,0,0,,0,13,0,0,0,0,0,0,4,4,0,0.00%,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
CA-531,291,246,246,84.54%,131,160,0,49,132,159,0,2,4,131,116,116,88.55%,61,0,5,23,108,0,2,0,160,130,130,81.25%,44,109,51,0,0,4,0,0,0,,0,0,0,0,0,0,95,95,91,95.79%,44,81,14,0,0,4,68,68,68,100.00%,3,7,59,2,0,2,28,1,1,1,100.00%,1,1,0,0,0,0
CA-600,24898,24205,16839,67.63%,20512,3929,457,2965,8424,16397,77,1131,1474,20512,20259,14408,70.24%,0,0,2501,7089,13347,76,62,498,3929,3489,2170,55.23%,464,1335,2593,1,637,976,457,457,261,57.11%,0,0,457,0,432,0,8450,8418,8409,99.51%,1180,4130,4314,6,433,117,24172,24172,15478,64.03%,1792,5470,18669,33,6098,402,4303,1592,1521,1426,89.57%,218,773,819,0,0,0
CA-601,6267,5995,5849,93.33%,4386,1808,73,837,2639,3620,8,434,388,4386,4339,4322,98.54%,48,91,592,1880,2498,8,16,103,1808,1583,1454,80.42%,245,759,1049,0,398,285,73,73,73,100.00%,0,0,73,0,20,0,2814,2624,2563,91.08%,628,1968,846,0,648,110,6865,6865,6865,100.00%,479,1576,5289,0,3378,95,994,2183,2183,2083,95.42%,144,497,1686,0,160,188
CA-602,3658,3363,2877,78.65%,2814,844,0,394,1322,2316,20,81,54,2814,2634,2494,88.63%,0,199,170,641,2153,20,0,45,844,729,383,45.38%,224,681,163,0,81,9,0,0,0,,0,0,0,0,0,0,1304,1084,1103,84.59%,257,888,416,0,92,0,2917,2860,2860,98.05%,404,1319,1598,0,1186,14,718,2122,2120,2120,99.91%,221,682,1440,0,0,0
CA-603,855,781,625,73.10%,729,126,0,34,259,588,8,20,21,729,659,521,71.47%,0,0,30,217,504,8,0,14,126,122,104,82.54%,4,42,84,0,20,7,0,0,0,,0,0,0,0,0,0,285,285,268,94.04%,62,160,125,0,40,15,782,782,752,96.16%,20,73,709,0,314,5,186,831,786,601,72.32%,151,482,349,0,16,10
CA-604,1156,1044,1044,90.31%,889,267,0,133,333,823,0,56,27,889,835,835,93.93%,0,0,50,211,678,0,0,24,267,209,209,78.28%,83,122,145,0,56,3,0,0,0,,0,0,0,0,0,0,521,510,510,97.89%,117,419,102,0,32,25,3100,3100,3100,100.00%,478,1411,1689,0,306,48,362,11,11,11,100.00%,3,9,2,0,11,0
CA-606,1284,1186,999,77.80%,692,534,58,60,172,1112,0,277,0,692,665,569,82.23%,81,0,29,83,609,0,20,0,534,463,372,69.66%,31,89,445,0,257,0,58,58,58,100.00%,0,0,58,0,0,0,292,231,231,79.11%,99,189,103,0,132,0,1820,1820,923,50.71%,208,701,1119,0,942,0,207,320,320,0,0.00%,0,0,320,0,320,0
CA-607,201,183,177,88.06%,145,56,0,37,88,113,0,0,26,145,145,139,95.86%,79,0,16,32,113,0,0,26,56,38,38,67.86%,21,56,0,0,0,0,0,0,0,,0,0,0,0,0,0,101,101,101,100.00%,8,32,69,0,0,7,447,447,418,93.51%,43,139,308,0,29,1,94,109,109,0,0.00%,10,39,70,0,0,0
CA-608,1489,1447,1259,84.55%,1197,292,0,138,515,950,24,52,53,1197,1181,1036,86.55%,40,40,92,323,850,24,12,28,292,266,223,76.37%,46,192,100,0,40,25,0,0,0,,0,0,0,0,0,0,710,621,657,92.54%,118,391,319,0,71,51,1719,1719,1719,100.00%,252,490,1229,0,994,0,719,0,0,0,,0,0,0,0,0,0
CA-609,1286,1075,917,71.31%,797,489,0,220,557,718,11,13,12,797,699,656,82.31%,19,0,139,310,478,9,0,10,489,376,261,53.37%,81,247,240,2,13,2,0,0,0,,0,0,0,0,0,0,2136,2052,2052,96.07%,507,1283,853,0,140,0,1590,1590,1590,100.00%,184,571,1019,0,565,0,729,0,0,0,,0,0,0,0,0,0
CA-611,1080,879,724,67.04%,786,284,10,147,389,685,6,20,46,786,741,684,87.02%,25,0,60,138,642,6,0,46,284,128,30,10.56%,87,251,33,0,20,0,10,10,10,100.00%,0,0,10,0,0,0,547,547,547,100.00%,136,354,193,0,2,0,734,734,352,47.96%,85,153,581,0,246,11,663,269,269,0,0.00%,64,64,205,0,0,0
CA-612,124,58,58,46.77%,61,63,0,23,80,44,0,0,0,61,45,45,73.77%,0,5,9,31,30,0,0,0,63,13,13,20.63%,14,49,14,0,0,0,0,0,0,,0,0,0,0,0,0,30,26,26,86.67%,11,30,0,0,0,0,156,156,140,89.74%,16,55,101,0,23,0,131,126,101,101,80.16%,18,53,73,0,0,32
CA-613,226,165,78,34.51%,131,95,0,45,129,97,0,6,20,131,92,50,38.17%,0,0,25,81,50,0,0,0,95,73,28,29.47%,20,48,47,0,6,20,0,0,0,,0,0,0,0,0,0,156,153,153,98.08%,147,147,9,0,9,0,24,24,0,0.00%,6,9,15,0,0,0,0,74,74,58,78.38%,62,74,0,0,0,0
CA-614,314,263,263,83.76%,282,32,0,19,101,206,7,1,8,282,255,255,90.43%,0,121,11,77,198,7,1,8,32,8,8,25.00%,8,24,8,0,0,0,0,0,0,,0,0,0,0,0,0,283,283,277,97.88%,81,228,55,0,48,4,363,363,357,98.35%,8,18,345,0,226,0,137,515,515,32,6.21%,113,298,217,0,0,0
CO-500,1333,1108,351,26.33%,842,491,0,421,584,749,0,16,70,842,653,278,33.02%,159,95,352,452,390,0,0,20,491,455,73,14.87%,69,132,359,0,16,50,0,0,0,,0,0,0,0,0,0,406,372,341,83.99%,137,270,136,0,114,0,1103,1103,442,40.07%,153,249,854,0,512,70,292,0,0,0,,0,0,0,0,0,0
CO-503,6204,5996,4263,68.71%,4107,2034,63,777,2261,3925,18,208,82,4107,3938,3395,82.66%,399,2222,399,1087,3003,17,0,57,2034,2020,805,39.58%,378,1174,859,1,170,25,63,38,63,100.00%,0,0,63,0,38,0,1873,1823,1873,100.00%,584,1116,757,0,157,48,4573,4573,3114,68.10%,494,1145,3428,0,1479,44,2663,3849,3849,820,21.30%,1043,1399,2450,0,20,26
CO-504,1173,1130,932,79.45%,698,475,0,153,596,574,3,55,15,698,655,643,92.12%,0,157,48,234,462,2,12,2,475,475,289,60.84%,105,362,112,1,43,13,0,0,0,,0,0,0,0,0,0,120,120,120,100.00%,11,43,77,0,67,13,489,489,194,39.67%,50,153,336,0,323,37,190,392,392,140,35.71%,57,168,224,0,50,15
CO-505,482,395,333,69.09%,372,110,0,81,255,227,0,10,1,372,285,279,75.00%,100,136,53,170,202,0,10,0,110,110,54,49.09%,28,85,25,0,0,1,0,0,0,,0,0,0,0,0,0,249,195,195,78.31%,55,168,81,0,55,0,461,461,196,42.52%,24,84,377,0,204,9,101,28,28,28,100.00%,0,0,28,0,0,0
CT-503,550,488,488,88.73%,434,116,0,93,221,321,8,47,8,434,372,372,85.71%,82,6,74,183,243,8,0,8,116,116,116,100.00%,19,38,78,0,47,0,0,0,0,,0,0,0,0,0,0,325,203,203,62.46%,71,202,123,0,2,32,1997,1983,1962,98.25%,252,706,1291,0,145,0,1982,189,189,0,0.00%,52,129,60,0,0,0
CT-505,1881,1589,1537,81.71%,1540,321,20,257,828,1053,0,192,146,1540,1313,1289,83.70%,431,115,213,711,829,0,92,12,321,256,228,71.03%,44,117,204,0,80,134,20,20,20,100.00%,0,0,20,0,20,0,1129,740,733,64.92%,223,640,489,0,68,144,5395,5320,4205,77.94%,594,1605,3790,0,1176,73,0,646,646,0,0.00%,138,322,283,41,0,41
DC-500,5216,4931,4734,90.76%,3720,1476,20,598,1829,3372,15,131,629,3720,3675,3573,96.05%,306,0,374,1271,2434,15,0,103,1476,1236,1141,77.30%,224,558,918,0,111,526,20,20,20,100.00%,0,0,20,0,20,0,9206,8867,8867,96.32%,2829,8486,720,0,169,521,15349,15237,15163,98.79%,2272,7083,8266,0,1900,136,14755,5381,5381,5381,100.00%,1345,4305,1076,0,51,0
DE-500,1317,1247,987,74.94%,943,374,0,290,797,518,2,56,4,943,879,713,75.61%,204,109,198,569,372,2,15,2,374,368,274,73.26%,92,228,146,0,41,2,0,0,0,,0,0,0,0,0,0,226,183,189,83.63%,55,188,37,1,23,1,739,739,739,100.00%,53,182,557,0,214,0,525,351,351,351,100.00%,101,297,54,0,0,0
FL-500,871,809,785,90.13%,518,353,0,81,268,566,37,30,49,518,456,456,88.03%,0,142,27,106,380,32,10,36,353,353,329,93.20%,54,162,186,5,20,13,0,0,0,,0,0,0,0,0,0,176,176,176,100.00%,18,69,107,0,83,4,378,378,378,100.00%,33,166,212,0,242,0,273,252,252,252,100.00%,0,0,252,0,0,0
FL-501,1035,928,905,87.44%,960,75,0,140,523,509,3,122,3,960,853,841,87.60%,0,0,137,511,446,3,89,3,75,75,64,85.33%,3,12,63,0,33,0,0,0,0,,0,0,0,0,0,0,666,608,608,91.29%,135,457,209,0,146,43,1425,1425,1421,99.72%,46,151,1274,0,817,0,306,105,105,22,20.95%,0,0,105,0,0,0
FL-502,1986,1846,1846,92.95%,1545,371,70,297,533,1406,47,156,55,1545,1428,1428,92.43%,0,20,251,426,1095,24,23,24,371,348,348,93.80%,46,107,241,23,88,31,70,70,70,100.00%,0,0,70,0,45,0,667,473,473,70.91%,394,486,181,0,126,0,1641,1641,1641,100.00%,95,362,1279,0,935,0,1400,187,187,108,57.75%,0,0,187,0,0,0
FL-503,626,626,498,79.55%,282,344,0,77,318,301,7,0,7,282,282,246,87.23%,0,0,22,150,125,7,0,7,344,344,252,73.26%,55,168,176,0,0,0,0,0,0,,0,0,0,0,0,0,76,76,76,100.00%,35,36,40,0,24,0,211,211,211,100.00%,37,89,122,0,117,0,163,16,16,16,100.00%,0,0,16,0,2,0
FL-504,546,451,441,80.77%,278,248,20,89,331,215,0,20,53,278,186,186,66.91%,0,19,47,170,108,0,0,25,248,245,235,94.76%,42,161,87,0,0,28,20,20,20,100.00%,0,0,20,0,20,0,82,70,82,100.00%,14,50,32,0,0,6,432,432,106,24.54%,56,171,261,0,326,0,105,35,35,35,100.00%,7,22,13,0,0,0
FL-505,139,123,123,88.49%,139,0,0,11,37,100,2,0,2,139,123,123,88.49%,0,0,11,37,100,2,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,36,36,36,100.00%,4,19,17,0,16,0,149,149,149,100.00%,2,6,143,0,115,0,0,0,0,0,,0,0,0,0,0,0
FL-506,703,555,555,78.95%,551,152,0,56,249,442,12,56,12,551,483,483,87.66%,0,0,36,194,345,12,0,12,152,72,72,47.37%,20,55,97,0,56,0,0,0,0,,0,0,0,0,0,0,117,117,117,100.00%,9,35,82,0,79,0,497,497,245,49.30%,20,64,433,0,304,0,497,66,66,0,0.00%,66,66,0,0,0,0
FL-507,2108,1844,1435,68.07%,1436,672,0,276,1103,1005,0,92,56,1436,1223,1159,80.71%,0,120,180,796,640,0,0,26,672,621,276,41.07%,96,307,365,0,92,30,0,0,0,,0,0,0,0,0,0,776,776,776,100.00%,191,649,127,0,79,14,1421,1421,1329,93.53%,32,93,1328,0,657,0,1320,671,671,0,0.00%,272,272,399,0,0,0
FL-508,357,248,248,69.47%,284,73,0,50,135,211,11,70,11,284,175,175,61.62%,13,5,42,111,162,11,26,11,73,73,73,100.00%,8,24,49,0,44,0,0,0,0,,0,0,0,0,0,0,299,139,139,46.49%,109,233,66,0,35,0,661,661,661,100.00%,36,110,551,0,594,0,248,0,0,0,,0,0,0,0,0,0
FL-509,245,166,166,67.76%,177,68,0,46,167,68,10,1,18,177,98,98,55.37%,0,0,36,127,40,10,0,10,68,68,68,100.00%,10,40,28,0,1,8,0,0,0,,0,0,0,0,0,0,93,93,93,100.00%,15,56,37,0,9,0,310,310,310,100.00%,29,94,216,0,110,0,205,161,161,57,35.40%,13,27,134,0,0,0
FL-510,1120,866,956,85.36%,554,566,0,103,355,731,34,70,82,554,390,390,70.40%,0,10,63,204,316,34,26,52,566,476,566,100.00%,40,151,415,0,44,30,0,0,0,,0,0,0,0,0,0,388,280,379,97.68%,86,308,80,0,72,1,812,812,379,46.67%,41,107,705,0,433,0,708,684,684,159,23.25%,84,174,510,0,0,0
FL-511,644,587,470,72.98%,290,354,0,51,140,496,8,41,14,290,239,184,63.45%,0,0,14,96,186,8,0,8,354,348,286,80.79%,37,44,310,0,41,6,0,0,0,,0,0,0,0,0,0,187,187,187,100.00%,28,103,84,0,79,0,240,240,37,15.42%,3,11,229,0,203,0,37,35,35,35,100.00%,6,28,7,0,0,0
FL-512,182,112,112,61.54%,128,54,0,30,99,83,0,0,33,128,74,74,57.81%,0,4,15,59,69,0,0,16,54,38,38,70.37%,15,40,14,0,0,17,0,0,0,,0,0,0,0,0,0,62,62,62,100.00%,10,27,34,1,0,2,0,0,0,,0,0,0,0,0,0,0,84,84,84,100.00%,13,65,19,0,3,0
FL-513,452,427,427,94.47%,83,352,17,58,170,260,22,156,26,83,83,83,100.00%,0,0,15,37,24,22,0,22,352,327,327,92.90%,43,133,219,0,139,4,17,17,17,100.00%,0,0,17,0,17,0,125,125,125,100.00%,20,61,64,0,32,0,460,460,52,11.30%,87,112,348,0,409,0,52,667,667,142,21.29%,182,499,168,0,0,0
FL-514,344,306,288,83.72%,194,150,0,46,209,123,12,0,12,194,156,156,80.41%,0,92,16,91,91,12,0,12,150,150,132,88.00%,30,118,32,0,0,0,0,0,0,,0,0,0,0,0,0,53,53,53,100.00%,12,46,7,0,5,0,188,188,28,14.89%,29,72,116,0,160,0,24,127,127,50,39.37%,18,65,62,0,50,0
FL-515,218,197,180,82.57%,89,129,0,25,89,114,15,0,75,89,68,51,57.30%,0,5,13,47,27,15,0,36,129,129,129,100.00%,12,42,87,0,0,39,0,0,0,,0,0,0,0,0,0,102,102,102,100.00%,13,74,28,0,0,32,87,87,0,0.00%,9,27,60,0,87,0,60,0,0,0,,0,0,0,0,0,0
FL-517,120,5,0,0.00%,69,51,0,20,47,73,0,5,0,69,0,0,0.00%,0,0,14,35,34,0,0,0,51,5,0,0.00%,6,12,39,0,5,0,0,0,0,,0,0,0,0,0,0,57,57,57,100.00%,13,33,24,0,11,0,43,43,8,18.60%,0,0,43,0,35,0,43,0,0,0,,0,0,0,0,0,0
FL-518,109,39,39,35.78%,82,27,0,16,57,40,12,27,12,82,12,12,14.63%,0,8,16,57,13,12,0,12,27,27,27,100.00%,0,0,27,0,27,0,0,0,0,,0,0,0,0,0,0,71,71,71,100.00%,9,33,38,0,22,0,101,101,11,10.89%,6,16,85,0,95,0,6,0,0,0,,0,0,0,0,0,0
FL-519,343,303,303,88.34%,119,224,0,36,159,158,26,47,26,119,79,79,66.39%,0,13,19,67,26,26,0,26,224,224,224,100.00%,17,92,132,0,47,0,0,0,0,,0,0,0,0,0,0,178,178,178,100.00%,28,85,93,0,74,11,414,414,414,100.00%,55,204,210,0,307,0,14,511,511,511,100.00%,120,356,155,0,0,0
