,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
WA-502,1519,1485,1105,72.75%,1242,277,0,81,332,1161,26,24,113,1242,1208,872,70.21%,0,166,17,151,1065,26,10,70,277,277,233,84.12%,64,181,96,0,14,43,0,0,0,,0,0,0,0,0,0,706,586,586,83.00%,115,373,333,0,248,23,1122,1122,1118,99.64%,69,176,946,0,476,0,508,1220,1220,1150,94.26%,318,992,228,0,0,0
WA-503,1800,1701,1693,94.06%,1632,168,0,199,569,1207,24,111,24,1632,1533,1525,93.44%,130,9,173,502,1106,24,40,24,168,168,168,100.00%,26,67,101,0,71,0,0,0,0,,0,0,0,0,0,0,816,664,664,81.37%,143,346,470,0,127,2,1209,1209,1152,95.29%,66,247,962,0,546,13,611,507,507,507,100.00%,103,442,65,0,2,0
WA-504,707,660,605,85.57%,682,25,0,119,294,399,14,2,21,682,638,592,86.80%,0,0,118,292,385,5,2,8,25,22,13,52.00%,1,2,14,9,0,13,0,0,0,,0,0,0,0,0,0,599,541,541,90.32%,111,270,329,0,71,27,1557,1557,1373,88.18%,270,788,769,0,427,10,1240,682,627,403,59.09%,178,573,109,0,0,20
WA-508,619,586,586,94.67%,406,213,0,76,248,368,3,0,46,406,381,381,93.84%,94,0,38,140,263,3,0,7,213,205,205,96.24%,38,108,105,0,0,39,0,0,0,,0,0,0,0,0,0,461,419,401,86.98%,89,259,202,0,0,54,645,645,618,95.81%,12,48,597,0,260,6,310,85,85,0,0.00%,37,85,0,0,0,0
WI-500,2572,1811,1495,58.13%,1915,650,7,494,1529,1032,11,102,54,1915,1339,1209,63.13%,313,246,377,1132,776,7,0,32,650,465,279,42.92%,117,397,249,4,102,22,7,7,7,100.00%,0,0,7,0,0,0,631,507,540,85.58%,154,478,153,0,53,70,893,893,857,95.97%,78,242,651,0,422,0,406,881,881,28,3.18%,229,690,191,0,0,0
WI-501,967,881,889,91.93%,764,156,47,108,349,590,28,92,43,764,686,686,89.79%,228,0,82,289,447,28,1,28,156,148,156,100.00%,26,60,96,0,91,15,47,47,47,100.00%,0,0,47,0,0,0,491,477,491,100.00%,96,353,138,0,15,48,2210,2210,2210,100.00%,188,632,1578,0,724,18,414,71,71,71,100.00%,0,0,71,0,71,0
WI-502,242,175,175,72.31%,167,75,0,24,94,144,4,40,4,167,135,135,80.84%,0,32,16,63,100,4,0,4,75,40,40,53.33%,8,31,44,0,40,0,0,0,0,,0,0,0,0,0,0,92,92,92,100.00%,18,66,26,0,2,9,147,147,147,100.00%,8,31,116,0,85,0,66,70,70,0,0.00%,11,40,30,0,0,0
WI-503,603,553,553,91.71%,473,130,0,74,253,342,8,24,8,473,445,445,94.08%,40,60,57,187,278,8,0,8,130,108,108,83.08%,17,66,64,0,24,0,0,0,0,,0,0,0,0,0,0,603,603,603,100.00%,117,387,216,0,9,32,895,895,895,100.00%,126,394,501,0,256,0,236,829,829,711,85.77%,116,430,399,0,6,0
WV-500,112,66,66,58.93%,81,31,0,14,47,60,5,11,19,81,47,47,58.02%,40,12,11,38,38,5,6,5,31,19,19,61.29%,3,9,22,0,5,14,0,0,0,,0,0,0,0,0,0,24,24,24,100.00%,4,9,15,0,5,0,16,16,16,100.00%,0,0,16,0,0,0,16,0,0,0,,0,0,0,0,0,0
WV-501,203,181,168,82.76%,195,0,8,23,72,131,0,13,0,195,173,160,82.05%,40,0,23,72,123,0,13,0,0,0,0,,0,0,0,0,0,0,8,8,8,100.00%,0,0,8,0,0,0,203,143,143,70.44%,24,75,128,0,38,0,387,387,381,98.45%,56,130,257,0,129,0,17,88,80,80,90.91%,4,8,80,0,0,0
WV-503,229,191,161,70.31%,196,33,0,20,70,150,9,12,19,196,174,144,73.47%,0,0,14,58,129,9,0,14,33,17,17,51.52%,6,12,21,0,12,5,0,0,0,,0,0,0,0,0,0,74,42,42,56.76%,26,47,27,0,0,2,147,147,85,57.82%,5,10,137,0,62,1,82,64,64,0,0.00%,0,0,64,0,0,0
WV-508,809,536,461,56.98%,693,116,0,110,342,466,1,49,33,693,420,345,49.78%,115,18,100,322,370,1,26,1,116,116,116,100.00%,10,20,96,0,23,32,0,0,0,,0,0,0,0,0,0,314,287,287,91.40%,34,100,214,0,109,34,446,446,205,45.96%,38,99,347,0,241,0,222,129,129,129,100.00%,27,78,51,0,8,0
WY-500,871,613,608,69.80%,621,250,0,74,237,615,19,27,63,621,363,358,57.65%,0,83,73,235,368,18,0,18,250,250,250,100.00%,1,2,247,1,27,45,0,0,0,,0,0,0,0,0,0,94,80,80,85.11%,7,31,63,0,69,0,266,266,31,11.65%,9,27,239,0,219,0,38,0,0,0,,0,0,0,0,0,0
Total,449567,402688,343130,76.32%,358435,88626,2506,64259,200714,245662,3191,17427,17288,358435,323377,283828,79.19%,17028,25217,50877,161204,194539,2692,3772,7926,88626,76830,57066,64.39%,13382,39510,48617,499,12108,9345,2506,2481,2236,89.23%,0,0,2506,0,1547,17,144765,129805,127376,87.99%,31820,93132,51500,133,17379,7886,395986,392975,307463,77.64%,42300,122124,273818,44,110794,4987,178681,122227,120945,74169,60.68%,23656,64854,57271,102,2454,1784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
